Project,How Many Nullchekcers,Commits No Checkers,LOC No Checkers,Commits_Checkers,LOC_Checkers,Avg Files Per Commit No checkers,Avg Files Per Commit Yes checkers,Authors no Checker,Authors Yes Checker,Committers no Checker,Committer Yes Checker
DrKLO/Telegram,2207,349,1496051,19,3856392,53.83,1114.89,14,1,14,1
spring-projects/spring-framework,13257,20585,4635987,652,275718,6.91,16.97,569,39,88,13
spring-projects/spring-boot,34,27833,2390455,17,35293,4.54,74.0,850,7,39,4
lgvalle/Material-Animations,2,75,8157,1,199,3.88,7.0,11,1,12,1
eclipse/deeplearning4j,2967,896,581396,96,2411262,17.18,129.79,46,15,19,8
airbnb/lottie-android,290,1117,105230,78,32954,7.46,15.72,87,9,4,2
bazelbuild/bazel,3217,25632,22729166,1122,832673,6.29,14.89,750,123,44,22
PhilJay/MPAndroidChart,33,2060,267173,4,9024,4.11,42.5,85,3,78,3
elastic/elasticsearch,2491,53051,11095294,768,1287900,6.86,42.12,1620,89,355,42
linlinjava/litemall,37,1051,505769,13,15542,6.93,17.08,50,4,19,4
eclipse-vertx/vert.x,126,4550,744860,27,17827,4.77,13.78,190,6,139,2
macrozheng/mall,2,524,397038,1,92543,5.41,293.0,2,1,3,1
halo-dev/halo,1210,1636,993242,216,52706,10.91,10.52,46,12,25,6
google/guava,3888,4948,1857193,360,413628,6.46,16.3,392,47,24,17
google/ExoPlayer,2719,7403,916374,566,167067,4.07,7.81,217,31,131,15
skylot/jadx,319,1148,154194,116,55854,6.36,14.97,49,7,28,4
Bigkoo/Android-PickerView,6,488,37296,2,394,2.39,9.5,24,2,22,2
square/picasso,188,1346,62175,20,5076,2.27,11.25,121,4,99,3
square/retrofit,172,1827,145159,28,10860,3.15,11.71,171,7,124,4
square/okhttp,33,4664,560627,13,13931,3.09,12.54,259,4,181,4
JakeWharton/butterknife,111,983,73414,20,9977,3.01,8.6,99,5,71,3
libgdx/libgdx,424,14199,12177167,8,2022,5.66,19.75,641,2,507,2
qiurunze123/miaosha,6,211,202673,2,226181,11.28,351.0,8,1,7,1
openzipkin/zipkin,228,2377,690766,51,77044,10.3,31.45,107,4,24,3
dbeaver/dbeaver,8218,15305,2238345,1346,458702,6.37,11.52,188,30,150,29
ctripcorp/apollo,1,2397,328053,1,12,4.36,2.0,95,1,42,1
oracle/graal,11,46196,6985193,7,3299,4.85,19.29,258,4,231,4
CarGuo/GSYVideoPlayer,60,1145,99616,15,13831,3.62,12.0,12,2,11,2
dyc87112/SpringBoot-Learning,7,356,32388,2,16927,3.87,213.0,6,2,6,2
signalapp/Signal-Android,10209,5146,2547202,711,426194,8.13,19.21,238,19,59,7
alibaba/spring-cloud-alibaba,4,1509,423691,4,1587,7.25,10.25,105,4,77,4
alibaba/fastjson,2,3693,506276,1,1907,4.34,15.0,175,1,153,1
alibaba/ARouter,43,271,12517,2,5699,2.14,56.5,20,1,12,1
Netflix/Hystrix,8,2105,268579,4,1096,2.07,4.75,142,1,127,1
eugenp/tutorials,218,19595,7873411,60,179717,5.86,33.13,963,47,551,36
hdodenhof/CircleImageView,1,156,2510,1,24,1.62,1.0,14,1,12,1
Blankj/AndroidUtilCode,1248,1166,1489570,66,136066,25.0,45.27,36,2,27,2
facebook/fresco,2112,2179,2544387,394,133223,10.49,6.55,292,77,21,14
facebook/stetho,282,530,24269,50,29402,2.14,10.74,58,14,45,14
didi/DoraemonKit,575,1222,266574,39,125727,9.83,61.85,88,6,64,6
CymChad/BaseRecyclerViewAdapterHelper,170,1189,55271,8,21315,2.53,45.38,59,3,44,3
JeffLi1993/springboot-learning-example,2,159,15637,2,3016,3.65,41.5,10,2,10,1
chrisbanes/PhotoView,2,451,23861,2,627,2.29,14.0,49,2,43,2
android10/Android-CleanArchitecture,7,242,16167,2,475,3.84,16.5,11,1,12,1
Tencent/tinker,99,604,102762,1,2532,3.53,19.0,41,1,26,1
scwang90/SmartRefreshLayout,321,1075,132281,43,41654,4.49,31.4,10,4,9,4
wix/react-native-navigation,342,4764,503432,92,54669,3.9,25.35,368,12,29,5
bumptech/glide,4023,2348,415433,169,89002,6.54,15.63,154,24,46,6
orhanobut/logger,157,142,14026,2,405,3.25,11.5,13,1,11,1
ReactiveX/RxJava,4569,5671,2615901,91,139938,6.5,38.36,290,19,126,2
jenkinsci/jenkins,2403,29987,1937364,291,77839,3.43,8.12,906,55,659,38
greenrobot/greenDAO,35,874,115831,6,2461,5.18,33.5,8,2,7,2
apache/flink,3920,22246,9491352,830,686530,8.57,15.4,1064,108,126,38
apache/skywalking,10,5784,3265780,4,19248,12.43,61.75,302,3,51,1
apache/dubbo,6,4372,1631676,4,2004,9.32,23.0,370,3,68,2
zhihu/Matisse,27,215,5603,8,7442,2.11,26.38,41,7,14,5
realm/realm-java,409,8282,1072301,36,67393,3.3,30.42,112,7,75,4
