"","repos","firstCheckerCommit","lastCheckerCommit","midPointInDays","checkersBeforeMidpoint","checkersAfterMidpoint","totalCheckers"
"1","spring-projects/spring-framework",2009-09-07,2020-07-27,1988,11,12657,12668
"2","eclipse/deeplearning4j",2019-06-06,2020-07-26,208,2467,430,2897
"3","airbnb/lottie-android",2016-10-10,2020-03-02,619,166,124,290
"4","bazelbuild/bazel",2015-02-25,2020-07-27,989,843,2359,3202
"5","elastic/elasticsearch",2010-02-20,2020-07-27,1905,191,2205,2396
"6","eclipse-vertx/vert.x",2015-10-26,2020-07-07,858,62,64,126
"7","halo-dev/halo",2019-02-19,2020-07-14,255,787,423,1210
"8","google/guava",2009-09-15,2020-07-13,1977,1037,2763,3800
"9","google/ExoPlayer",2017-03-15,2020-06-17,595,947,1747,2694
"10","skylot/jadx",2014-11-03,2020-07-20,1043,48,271,319
"11","square/retrofit",2017-05-08,2020-02-24,511,86,74,160
"12","openzipkin/zipkin",2015-11-04,2020-07-12,856,81,129,210
"13","dbeaver/dbeaver",2013-12-21,2020-07-27,1205,4277,3915,8192
"14","signalapp/Signal-Android",2015-03-11,2020-07-22,980,645,9466,10111
"15","eugenp/tutorials",2014-08-11,2020-06-07,1063,42,127,169
"16","Blankj/AndroidUtilCode",2017-05-12,2019-11-28,465,448,647,1095
"17","facebook/fresco",2015-03-23,2020-07-10,968,716,1393,2109
"18","facebook/stetho",2015-01-28,2018-10-10,675,228,48,276
"19","didi/DoraemonKit",2018-12-21,2020-05-11,253,212,315,527
"20","scwang90/SmartRefreshLayout",2017-06-02,2020-05-31,547,250,64,314
"21","wix/react-native-navigation",2016-07-24,2020-07-07,722,82,165,247
"22","bumptech/glide",2015-06-03,2020-07-21,937,1435,918,2353
"23","ReactiveX/RxJava",2017-01-28,2020-02-12,555,619,3903,4522
"24","jenkinsci/jenkins",2012-07-05,2020-07-21,1469,289,2086,2375
"25","apache/flink",2014-09-30,2020-07-24,1062,165,3722,3887
"26","realm/realm-java",2015-12-16,2019-12-12,728,285,124,409
