"","repos","how_Many_Nullcheckers","commitsNullChecker","totalCommits","files_Touched_NChecker_Commits","p_values_Files_unadjusted","Files_BH_adjusted_pvalues","LOC_NChecker_Commits","p_values_LOC_unadjusted","LOC_BH_adjusted_pvalues","Authors_NChecker_Commits","p_values_Authors_unadjusted","Authors_BH_adjusted_pvalues","Committers_NChecker_Commits","p_values_Committers_unadjusted","Committers_BH_adjusted_pvalues"
"1","spring-projects/spring-framework",13257,652,21237,11067,1.61164076011389e-94,6.98377662716018e-94,275718,4.02730981023129e-111,1.74516758443356e-110,39,8e-05,0.000208,13,0,0
"2","eclipse/deeplearning4j",2967,96,992,12460,1.84640398754377e-20,2.286023984578e-20,2411262,9.94151068912228e-23,1.123822947466e-22,15,0.03912,0.0598305882352941,8,0.22282,0.289666
"3","airbnb/lottie-android",290,78,1195,1226,8.58400368618357e-16,9.70365634090317e-16,32954,3.21764398318928e-23,4.18293717814606e-23,9,0.45259,0.51162347826087,2,0.40179,0.454197391304348
"4","bazelbuild/bazel",3217,1122,26754,16706,2.70460333042591e-253,2.34398955303579e-252,832673,5.04826247026931e-284,4.37516080756674e-283,123,0,0,22,7e-04,0.0014
"5","elastic/elasticsearch",2491,768,53819,32351,0,0,1287900,0,0,89,0,0,42,0,0
"6","eclipse-vertx/vert.x",126,27,4577,372,9.57538352584351e-11,9.95839886687725e-11,17827,6.0323122953436e-11,6.27360478715735e-11,6,0.12084,0.16536,2,1e-05,2.6e-05
"7","halo-dev/halo",1210,216,1852,2273,1.27353767819266e-35,2.7593316360841e-35,52706,2.14959012402319e-48,5.58893432246029e-48,12,0.21394,0.264878095238095,6,0.06835,0.0987277777777778
"8","google/guava",3888,360,5308,5869,8.66436108906875e-49,2.50303764795319e-48,413628,2.00280038767346e-59,5.7858677866122e-59,47,1e-05,3.25e-05,17,0.7816,0.812864
"9","google/ExoPlayer",2719,566,7969,4423,1.8201409099832e-73,6.76052337993762e-73,167067,3.63533346979741e-95,1.35026671735332e-94,31,0,0,15,1e-05,2.6e-05
"10","skylot/jadx",319,116,1264,1737,9.93130661615243e-28,1.98626132323049e-27,55854,2.4474665134949e-28,4.24227529005783e-28,7,0.0019,0.00352857142857143,4,0.0017,0.00315714285714286
"11","square/retrofit",172,28,1855,328,3.75426399622759e-08,3.75426399622759e-08,10860,2.1123076245918e-10,2.1123076245918e-10,7,0.1908,0.24804,4,0.00613,0.00996125
"12","openzipkin/zipkin",228,51,2428,1604,4.6942496036265e-14,5.08543707059538e-14,77044,5.21275529391555e-25,7.52953542454469e-25,4,0.00012,0.000283636363636364,3,0.00798,0.0122047058823529
"13","dbeaver/dbeaver",8218,1346,16651,15506,0,0,458702,0,0,30,0,0,29,0,0
"14","signalapp/Signal-Android",10209,711,5857,13657,8.88443661172617e-156,5.77488379762201e-155,426194,8.89274441790783e-198,5.78028387164009e-197,19,0,0,7,0,0
"15","eugenp/tutorials",218,60,19655,1988,3.69264496651814e-24,6.00054807059198e-24,179717,1.37494331149357e-24,1.88150137362278e-24,47,0.86445,0.86445,36,0.94846,0.94846
"16","Blankj/AndroidUtilCode",1248,66,1232,2988,1.11147632126258e-20,1.44491921764135e-20,136066,4.27711119422343e-25,6.54146417940055e-25,2,1e-05,3.25e-05,2,0,0
"17","facebook/fresco",2112,394,2573,2580,1.74514604118865e-24,3.024919804727e-24,133223,5.66439017951995e-46,1.33885586061381e-45,77,0.11744,0.16536,14,0.25197,0.311962857142857
"18","facebook/stetho",282,50,580,537,7.60682666373727e-24,1.16339701915982e-23,29402,1.33592920237641e-27,2.17088495386167e-27,14,0.63029,0.682814166666667,14,0.73877,0.800334166666667
"19","didi/DoraemonKit",575,39,1261,2412,1.78015676910304e-19,2.10382163621269e-19,125727,1.1395997998558e-19,1.23456644984378e-19,6,0.00178,0.00352857142857143,6,0.00482,0.00835466666666667
"20","scwang90/SmartRefreshLayout",321,43,1118,1350,2.27724737328594e-25,4.22917369324532e-25,41654,3.78163127509062e-23,4.68201967392172e-23,4,0.30153,0.356353636363636,4,0.31753,0.375262727272727
"21","wix/react-native-navigation",342,92,4856,2332,1.44532996569826e-37,3.4162344643777e-37,54669,2.6353147117181e-32,5.2706294234362e-32,12,0.00041,0.000888333333333333,5,0.00057,0.001235
"22","bumptech/glide",4023,169,2517,2642,1.07120616055284e-23,1.46586106180915e-23,89002,9.18749444759668e-31,1.70624896883938e-30,24,0.746,0.77584,6,0.12651,0.173118947368421
"23","ReactiveX/RxJava",4569,91,5762,3491,6.27363342495779e-38,1.63114469048903e-37,139938,6.99001662848577e-33,1.51450360283858e-32,19,0.03053,0.04961125,2,0,0
"24","jenkinsci/jenkins",2403,291,30278,2363,1.86463466352351e-49,6.06006265645141e-49,77839,2.80322998158094e-75,9.11049744013807e-75,55,0.02464,0.0427093333333333,38,4e-05,9.45454545454546e-05
"25","apache/flink",3920,830,23076,12780,5.37654505537832e-141,2.79580342879672e-140,686530,4.67811008568955e-159,2.43261724455857e-158,108,0,0,38,0,0
"26","realm/realm-java",409,36,8318,1095,8.48827970481278e-24,1.22608484625073e-23,67393,8.27915443859924e-23,9.78445524561729e-23,7,2e-05,5.77777777777778e-05,4,0,0
