,repos
1,spring-projects/spring-framework
2,eclipse/deeplearning4j
3,airbnb/lottie-android
4,bazelbuild/bazel
5,elastic/elasticsearch
6,eclipse-vertx/vert.x
7,halo-dev/halo
8,google/guava
9,google/ExoPlayer
10,skylot/jadx
11,square/retrofit
12,openzipkin/zipkin
13,dbeaver/dbeaver
14,signalapp/Signal-Android
15,eugenp/tutorials
16,Blankj/AndroidUtilCode
17,facebook/fresco
18,facebook/stetho
19,didi/DoraemonKit
20,scwang90/SmartRefreshLayout
21,wix/react-native-navigation
22,bumptech/glide
23,ReactiveX/RxJava
24,jenkinsci/jenkins
25,apache/flink
26,realm/realm-java
